2023-02-28 17:14:23.813951  * Response 42 from device ID 1 , data = 65535
2023-02-28 17:14:23.937167 Read holding register for device ID 1 , Start address = 1024 Quantity = 16
2023-02-28 17:14:23.943185  * Response 1 from device ID 1 , data = 987
2023-02-28 17:14:23.943185  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:23.943185  * Response 3 from device ID 1 , data = 340
2023-02-28 17:14:23.943185  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:23.943185  * Response 5 from device ID 1 , data = 306
2023-02-28 17:14:23.943185  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:23.943185  * Response 7 from device ID 1 , data = 143
2023-02-28 17:14:23.943185  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:23.943185  * Response 9 from device ID 1 , data = 1203
2023-02-28 17:14:23.943185  * Response 10 from device ID 1 , data = 0
2023-02-28 17:14:23.943185  * Response 11 from device ID 1 , data = 126
2023-02-28 17:14:23.943185  * Response 12 from device ID 1 , data = 0
2023-02-28 17:14:23.943185  * Response 13 from device ID 1 , data = 463
2023-02-28 17:14:23.943185  * Response 14 from device ID 1 , data = 0
2023-02-28 17:14:23.943185  * Response 15 from device ID 1 , data = 941
2023-02-28 17:14:23.943185  * Response 16 from device ID 1 , data = 0
2023-02-28 17:14:24.618126 Read holding register for device ID 1 , Start address = 258 Quantity = 16
2023-02-28 17:14:24.669967  * Response 1 from device ID 1 , data = 2376
2023-02-28 17:14:24.669967  * Response 2 from device ID 1 , data = 0
2023-02-28 17:14:24.669967  * Response 3 from device ID 1 , data = 4116
2023-02-28 17:14:24.669967  * Response 4 from device ID 1 , data = 0
2023-02-28 17:14:24.669967  * Response 5 from device ID 1 , data = 9
2023-02-28 17:14:24.669967  * Response 6 from device ID 1 , data = 0
2023-02-28 17:14:24.669967  * Response 7 from device ID 1 , data = 4615
2023-02-28 17:14:24.669967  * Response 8 from device ID 1 , data = 0
2023-02-28 17:14:24.669967  * Response 9 from device ID 1 , data = 64069
2023-02-28 17:14:24.669967  * Response 10 from device ID 1 , data = 65535
2023-02-28 17:14:24.669967  * Response 11 from device ID 1 , data = 6
2023-02-28 17:14:24.669967  * Response 12 from device ID 1 , data = 0
2023-02-28 17:14:24.669967  * Response 13 from device ID 1 , data = 0
